Restaurant Name,City,Address,Locality,Locality Verbose,Cuisines,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Rating color,Rating text
Manahang Restaurant,New Delhi,"230-B, Munirka, New Delhi",Munirka,"Munirka, New Delhi","Chinese, North Indian",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Mezbaan Restaurant,New Delhi,"383/1-B, Mir Singh Complex, Munirka, New Delhi",Munirka,"Munirka, New Delhi","North Indian, Mughlai, Chinese",Indian Rupees(Rs.),No,Yes,No,No,Orange,Average
Moon Light Sweets,New Delhi,"Shop 1-A, Shopping Centre 2, DDA Flats, Munirka, New Delhi",Munirka,"Munirka, New Delhi","Mithai, Street Food",Indian Rupees(Rs.),No,No,No,No,Orange,Average
North East Castle,New Delhi,"Shop 7, Capital Court, Munirka, New Delhi",Munirka,"Munirka, New Delhi",Cafe,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Pizza Point,New Delhi,"Baba Gang Nath Market, Munirka, New Delhi",Munirka,"Munirka, New Delhi","Fast Food, Pizza",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Roll Point,New Delhi,"551, Munirka, New Delhi",Munirka,"Munirka, New Delhi",Fast Food,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Sanjha Tandoor,New Delhi,"Shop 2, DDA Shopping Complex, Phase II, Munirka, New Delhi",Munirka,"Munirka, New Delhi","North Indian, Mughlai",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Sayyam,New Delhi,"209-B, Baba Ganga Nath Market, Munirka, New Delhi",Munirka,"Munirka, New Delhi",Chinese,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Shiv Bhojnalaya,New Delhi,"92-G/1, Partap Market, Munirka, New Delhi",Munirka,"Munirka, New Delhi","South Indian, North Indian, Fast Food",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Subway,New Delhi,"250-B/2, Opposite Vasant Vihar Bus Depot, Munirka, New Delhi",Munirka,"Munirka, New Delhi","American, Fast Food, Salad, Healthy Food",Indian Rupees(Rs.),No,Yes,No,No,Orange,Average
Take Away,New Delhi,"551-A, Munirka, New Delhi",Munirka,"Munirka, New Delhi",Chinese,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Vedanta's,New Delhi,"209-B/3, SS Rathi Complex, BGN Market, Munirka, New Delhi",Munirka,"Munirka, New Delhi","North Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,Orange,Average
Asian Chopstick,New Delhi,"Shop 2, 352-D, Gym Building, Munirka, New Delhi",Munirka,"Munirka, New Delhi","Chinese, Thai",Indian Rupees(Rs.),No,No,No,No,Yellow,Good
Chinese Delights,New Delhi,"12, DDA Commercial Complex, Munirka, New Delhi",Munirka,"Munirka, New Delhi","Chinese, North Indian",Indian Rupees(Rs.),No,Yes,No,No,Yellow,Good
Dezertfox,New Delhi,"Ko352/E15,  Village, Munirka, New Delhi",Munirka,"Munirka, New Delhi","Bakery, Desserts",Indian Rupees(Rs.),No,Yes,No,No,Yellow,Good
Aggarwal Sweets,New Delhi,"Munirka Shopping Complex, Behind Multilevel Parking, Munirka, New Delhi",Munirka,"Munirka, New Delhi","Mithai, Street Food",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Aggarwal Sweets,New Delhi,"Shop 1, Main Rama Market, Munirka, New Delhi",Munirka,"Munirka, New Delhi","Mithai, Street Food",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Al Meraj Chicken Shop,New Delhi,"249, Rama Market, Munirka Village, Munirka, New Delhi",Munirka,"Munirka, New Delhi","Awadhi, Mughlai",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Chinese Food Corner,New Delhi,"179, Near Jain Sweet, Munirka, New Delhi",Munirka,"Munirka, New Delhi","Chinese, North Indian",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Creative Food House,New Delhi,"249, Rama Market, Munirka Village, Munirka, New Delhi",Munirka,"Munirka, New Delhi","Continental, Chinese, North Indian",Indian Rupees(Rs.),No,No,No,No,White,Not rated
D.A.A.,New Delhi,"236, Munirka Village Baburam Chowk, Munirka, New Delhi",Munirka,"Munirka, New Delhi",Chinese,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Dee Cake Shop,New Delhi,"336, Munirka, New Delhi",Munirka,"Munirka, New Delhi",Bakery,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Jaca Restaurant,New Delhi,"212-A, Six-Ten Building, Munirka, New Delhi",Munirka,"Munirka, New Delhi","North Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
King Of Roll,New Delhi,"Dr. Kapoor Wali Gali, Munirka, New Delhi",Munirka,"Munirka, New Delhi",Fast Food,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Kirti Food Plaza,New Delhi,"C-249, Rama Market, Munirka, New Delhi",Munirka,"Munirka, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
KT's Shik-Shack,New Delhi,"F-92, Hanuman Market, Munirka, New Delhi",Munirka,"Munirka, New Delhi",Street Food,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Namaste Restaurant,New Delhi,"Dr Kapoorwali Gali, Munirka, New Delhi",Munirka,"Munirka, New Delhi",Chinese,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Nishaj Chicken Corner,New Delhi,"Shop 138, Dr. Kapoor Wali Gali, Munirka, New Delhi",Munirka,"Munirka, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Royal Bakery,New Delhi,"F- 92, Hanuman Market, Munirka, New Delhi",Munirka,"Munirka, New Delhi","Bakery, Desserts",Indian Rupees(Rs.),No,No,No,No,White,Not rated
S.R. Bakers,New Delhi,"Shop 210, Munirka Village, Munirka, New Delhi",Munirka,"Munirka, New Delhi",Bakery,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Shahi Muradabadi,New Delhi,"247/A, Rama Market, Munirka, New Delhi",Munirka,"Munirka, New Delhi",Mughlai,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Shree Vinayaga Restaurant,New Delhi,"K-92, Bank Street, Munirka, New Delhi",Munirka,"Munirka, New Delhi",South Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
The Cake Basket,New Delhi,"Rama Shopno.4 Market Munirka, Munirka, New Delhi",Munirka,"Munirka, New Delhi",Bakery,Indian Rupees(Rs.),No,No,No,No,White,Not rated
The Pure Kitchen,New Delhi,"Near Pal Dairy, Opposite JNU, Munirka Vihar, Munirka, New Delhi",Munirka,"Munirka, New Delhi","Chinese, Continental, North Indian",Indian Rupees(Rs.),No,No,No,No,White,Not rated
The Yolmo Kitchen,New Delhi,"Rama Market, Near Slice of Italy, Munirka, New Delhi",Munirka,"Munirka, New Delhi",Chinese,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Zawlbuk,New Delhi,"212, Munirka, New Delhi",Munirka,"Munirka, New Delhi",Tibetan,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Anupam Restaurant,New Delhi,"205-F, Main Road, Furniture Market, Munirka, New Delhi",Munirka,"Munirka, New Delhi","North Indian, Chinese",Indian Rupees(Rs.),No,Yes,No,No,Red,Poor
Bobby Di Punjabi Rasoi,New Delhi,"22, Near Health Centre, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,Orange,Average
Aditya Da Vaishno Dhaba,New Delhi,"Arjun Park, Near Metro Pillar 58, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Aggarwal Bikaner Sweets,New Delhi,"Gurgaon Road, Near Aggarwal Medicos, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",Mithai,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Aggarwal Sweet Centre,New Delhi,"1675, Chhawla Bus Stand, Mittal Market, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",Mithai,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Anjel China & Tibetian Food,New Delhi,"Chawla Gurgaon Road, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","Tibetan, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Annpurna Rasoi,New Delhi,"Rz-11/12, Najafgarh Nagloi Road, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","North Indian, Fast Food",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Apni Rasoi,New Delhi,"Plot 2, Shyam Enclave, Main Goyla Road, Deen Pur, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","Mughlai, North Indian",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Bajrang Misthan Bhawan,New Delhi,"Main Paprawat Road, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",Mithai,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Bake Town,New Delhi,"A-9, Laxmi Garden, Tuda Mandi, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","Bakery, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Bikaner Sweets & Restaurant,New Delhi,"Near Khaira Mod, Bahadurgarh Road, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","Mithai, South Indian, Street Food",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Brown Town Bakers,New Delhi,"RZ-20-21, Old Roshan Pura, Parawat Road, Near Post Office, Chawla Stand, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","Desserts, Fast Food",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Captain Food Factory,New Delhi,"1620-B/2 Opposite HDFC Bank, Thana Road,Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",Chinese,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Cheffron Bakery,New Delhi,"B-26, Gopal Nagar, Main Dhansa Road, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",Bakery,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Chicken Darwar,New Delhi,"CRPF Camp, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","Fast Food, Mughlai",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Chili's Treat,New Delhi,"1247, 1/4 Thana Road, Opposite Oriental Bank of Commerce, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","North Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Chilli Tadka,New Delhi,"Laxmi Vatika, Nagloi Road, Jal Vihar Bus Stand, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","Chinese, Fast Food",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Chinese Food Point,New Delhi,"Opposite BDO Office, Gurgaon Road, Roshan Pura, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",Chinese,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Chinese Temptation,New Delhi,"Near Delhi Gate, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","Chinese, Fast Food",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Dana Pani,New Delhi,"Gemini Park, Near Metro Pillar 63, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Dev Sweets & Restaurant,New Delhi,"Main Goyla, Deenpur Road, Near 25 Feet Road, Shyam Vihar, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","North Indian, Chinese, South Indian",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Dilli Darbar Chicken Point,New Delhi,"Deenpur Gurgaon, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",Mughlai,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Food Point and Sweets Corner,New Delhi,"Near Tura Mandi, Old Kakrola Road, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","South Indian, Fast Food, North Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Green Chick Chop,New Delhi,"RZ 4, Pillar 31, Roshanpura, Gurgaon Road, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","Raw Meats, North Indian, Fast Food",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Grover Burfee & Cakes,New Delhi,"301/1, Gaushala Road, Navada Bazar, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","Bakery, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Hans's Planet-F,New Delhi,"Gurgaon Road, Near Aggarwal Medicos, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","Chinese, Fast Food, North Indian",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Hotel Delhi 43,New Delhi,"Nagloi, Near Nirmal Vihar, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",North Indian,Indian Rupees(Rs.),Yes,No,No,No,White,Not rated
Kanhaiya Fast Food,New Delhi,"Shop 21, Bhagat Singh Market, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","Chinese, Fast Food",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Karol Bagh Ke Chhole Bhature,New Delhi,"Opposite Peer Baba, Gurgaon Road, Roshan Pura, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
King's Food,New Delhi,"Plot 2-A, Gopal Nagar Extension, Near Goodwil School, Surakhpur Road, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",Chinese,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Lamba Sweets Corner,New Delhi,"Khaira Mod, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","Mithai, Street Food",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Laxmi Food Corner,New Delhi,"Opposite BSES Office Najafgarh, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","Fast Food, North Indian",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Lounge Bakery,New Delhi,"Goyala Road, Shyam Vihar Phase 2, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",Bakery,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Mehtaab Sweet Corner & Restaurant,New Delhi,"Vinoba Enclave, Bahadurgarh Road, CRPF Camp, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","North Indian, Chinese, Street Food",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Melting Food Point,New Delhi,"Opposite Gyan Jyoti Public School, Gurgaon Road, Chhawla, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",Chinese,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Mithla Dhabha,New Delhi,"Baba Haridas Market, Chara Mandi Chowk, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Mittal Caterer,New Delhi,"Near Chhawala Bus Stand, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","Street Food, South Indian, Mithai",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Mittal Restaurant & Fast Food,New Delhi,"32/4, Chawla Stand, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","Fast Food, South Indian, Mithai",Indian Rupees(Rs.),No,No,No,No,White,Not rated
NBC Nirankari Bakers,New Delhi,"Khaira Mod, Near Suraj Cinema, Opposite Janta Xray Lab, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","Pizza, Fast Food, Bakery",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Pind Balluchi,New Delhi,"4-B/16, Najafgarh Road, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","North Indian, Mughlai",Indian Rupees(Rs.),Yes,No,No,No,White,Not rated
Prem Chinese Fast Food,New Delhi,"Main Dhansa Road, Near Nanak Pyaoo, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",Chinese,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Punjabi Rasoi,New Delhi,"CRPF Camp, Jharoda Road, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",Fast Food,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Punjabi Special,New Delhi,"Shop 35-36, Dwarka Vihar, C Block, Near Radha Krishna Vatika, Old Kakrola Road, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Radhe Shyam Dhaba,New Delhi,"Main Dhansa Road, Near Nanak Pyaoo, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Raj Rasoi,New Delhi,"9, Roshan Garden, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Raju De Special Paneer Wale,New Delhi,"1506, Chawla Stand, Gaushala Road, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Sangeeta Dhaba,New Delhi,"Plot 1, Nagli Sakravati Chowk, Opposite Metro Pillar 71, Main Uttam Nagar Road, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Sat Narayan Fast Food,New Delhi,"Dhansa Mod, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","Mithai, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Shahi Chicken Point,New Delhi,"Deenpur, Gurgaon Road, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",Mughlai,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Sharma Sweets,New Delhi,"Shop 1, Nangloi Stand, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","Mithai, Street Food",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Shere Hind Chicken Corner,New Delhi,"Chhawla Stand, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",Mughlai,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Shiv Shakti Dhaba,New Delhi,"Near Kakrola Road, Tura Mandi, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Shree Shyam Sweets,New Delhi,"Gurgaon Road, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",Street Food,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Shri Shyam Ji Shudh Shakahari Bhojnalaya,New Delhi,"Khaira Mod, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Sky Hawk,New Delhi,"RZ-132, 1st Floor, Near Reliance Fresh, New Roshanpura, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","North Indian, Chinese, Continental",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Snack Shack,New Delhi,"Opposite Sri Ram International School, Main Dhansa Road, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi","North Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Soya Bite's,New Delhi,"Furniture Market, Near Krishan Mandir, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Soya Bite's,New Delhi,"9, Roshan Garden, Main Tura Mandi Chowk, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Taj Mahal Dhaba,New Delhi,"Deenpur Main Goyla Mod, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Yadav Sweets,New Delhi,"Opposite Shri Ram Gate, Near Sabji Mandi, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",Mithai,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Yummy Chinese Food,New Delhi,"Opposite Vidhata Properties, Shyam Vihar Phase 2, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",Chinese,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Aggarwal Sweets Corner,New Delhi,"E-2 Block, Near Park Mandir Marg, Sultanpuri, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",Mithai,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Anand Sweets,New Delhi,"Sultanpuri Mod Market, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi","Mithai, Street Food",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Annapurna Sweets Palace,New Delhi,"K-1249, Opposite Sanjay Gandhi Hospital, Mangolpuri, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi","Mithai, Street Food",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Aujla's Punjabi Zaika,New Delhi,"A-120, Shop 4, Uday Vihar, Chander Vihar, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi","North Indian, Chinese, Mughlai",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Baba Ji,New Delhi,"Near Naresh Park, Najafgarh Road, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",Fast Food,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Babu Soup Wala,New Delhi,"Near Flyover, Rohtak Road, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Baketown By Gagan Bakers,New Delhi,"Near Bharti Vidyalaya, Main Road, Chander Vihar, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi","Fast Food, Bakery",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Bala Ji Rasoi,New Delhi,"A-18, Naresh Park, Najafgarh Road, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Bansiwala Sweets & Caterers,New Delhi,"Near Metro Pillar 629, Rohtak Road, Mundka, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi","Mithai, Street Food",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Best Chicken Corner,New Delhi,"Main Rohtak Road, Near Sutan Puri More, Opposite Metro Pillar 373, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Bhardwaj Bakery,New Delhi,"Near Naresh Park, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi","Bakery, Pizza",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Bikaner Sweets & Restaurant,New Delhi,"Opposite Sanjay Gandhi Hospital, Mangolpuri, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi","Mithai, Street Food, North Indian",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Classic Chef Corner,New Delhi,"Opposite Metro Pillar 520, Near Mundka Metro Station, Rohtak Road, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi","Chinese, North Indian",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Dabas Ke Special Chole Bhature,New Delhi,"Main Market, Mundka, Near, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",Street Food,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Daily Belly,New Delhi,"A-1, Swarn Park, Main Rohtak Road, Metro Pillar 486, Mundka, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi","North Indian, South Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Deep Bakery And Cake,New Delhi,"3, Najafgarh Road, Opposite Krishna Mandir, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi","Bakery, Desserts",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Dhaba NH10,New Delhi,"E 53, Camp 2, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi","North Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Dilkhush Dhaba,New Delhi,"Near Flyover, Rohtak Road, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Do Bhai Paneer Wale And Sweets,New Delhi,"1, Behind Police Station, Najafgarh Road, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",Bakery,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Dosa and Pizza Corner,New Delhi,"Sultanpuri Mod Market, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi","South Indian, Pizza, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Gulati Ki Rasoi,New Delhi,"A 111, Hari Enclave 1, Aman Vihar, Sultanpuri, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
JMD Family Restaurant,New Delhi,"Chanchal Park, Near Bus Stand, Najafgarh Road, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi","North Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Jyoti Sweets,New Delhi,"Near MG Plaza, Naresh Park, Najafgarh Road, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",Mithai,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Khana Khazana,New Delhi,"Idgah Market, Sultanpuri, Near, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Krishna Panjabi Rasoi,New Delhi,"10/10, Yadav Park, Najafgarh Road, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Lazeez Zaika,New Delhi,"Near P K Medicals, Nilothi Mod, Najafgarh Road, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi","North Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Mannat Chinese Fast Food,New Delhi,"Shop 41, Kotla Vihar, Najafgarh Road, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi","Chinese, Bakery",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Pizza Hot,New Delhi,"Shop 9, Uday Market, Chander Vihar, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi","Italian, Fast Food, South Indian",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Raju Fast Food,New Delhi,"Peer Baba Chowk, Shiv Ram Park, Opposite Chitra Palace, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi","Street Food, Fast Food",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Ramesh Caterers & Dhaba,New Delhi,"A-26, Rajneet Vihar, Main Road, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Sethi's Express,New Delhi,"Shop B-5, Uday Vihar, Aggarwal Chowk, Chander Vihar, Nilothi Extension, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi","South Indian, North Indian, Chinese",Indian Rupees(Rs.),No,No,No,No,White,Not rated
Shahi Chicken Biryani Corner,New Delhi,"Near Bharti Vidyalaya, Main Road, Chander Vihar, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",Biryani,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Spicy Curry,New Delhi,"G-7, Krishna Plaza, Pocket B, Commercial Complex, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
Super Star Restaurant,New Delhi,"A6, Shiv Ram Park, Nilothi More, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",North Indian,Indian Rupees(Rs.),No,No,No,No,White,Not rated
